rpm,temperature,oil_pressure,vibration,fuel_flow,fault
4824.4,92.9,2.09,2.4,3.01,Low Oil Pressure
4591.6,91.6,2.71,5.59,3.12,Bearing Degradation
5184.3,76.3,4.3,1.23,2.79,Normal
4714.0,87.9,3.43,5.69,3.1,Bearing Degradation
4682.5,83.8,3.28,4.83,3.08,Bearing Degradation
4910.8,94.4,2.04,2.59,2.86,Low Oil Pressure
5210.6,80.9,4.18,1.13,2.7,Normal
4705.1,88.2,3.1,4.31,3.01,Bearing Degradation
4838.8,89.8,2.26,2.72,3.08,Low Oil Pressure
5197.5,74.8,4.35,1.26,2.74,Normal
5191.2,106.5,3.65,2.09,3.34,Overheating
4829.1,92.1,2.29,2.27,2.98,Low Oil Pressure
4569.1,93.4,2.99,5.19,2.95,Bearing Degradation
4549.8,87.4,3.13,4.96,3.16,Bearing Degradation
5275.9,100.7,3.75,1.82,3.11,Overheating
4792.0,91.1,2.16,2.53,2.89,Low Oil Pressure
5228.5,77.9,4.3,1.17,2.57,Normal
4599.8,84.4,3.78,2.08,3.58,Performance Degradation
4981.3,91.7,2.57,2.56,2.99,Low Oil Pressure
4498.6,83.6,3.97,2.11,3.66,Performance Degradation
4629.0,84.3,4.04,2.19,3.71,Performance Degradation
5255.4,105.0,3.66,1.92,3.33,Overheating
4609.3,86.4,3.41,4.11,3.18,Bearing Degradation
4636.5,86.2,4.05,2.09,3.37,Performance Degradation
4655.6,87.8,3.3,4.97,2.96,Bearing Degradation
4631.2,84.4,3.51,2.29,3.67,Performance Degradation
5229.0,79.5,4.16,1.29,2.68,Normal
4693.8,84.3,3.98,2.18,3.58,Performance Degradation
4835.6,93.2,2.19,2.68,3.03,Low Oil Pressure
4675.9,82.9,3.81,2.47,3.83,Performance Degradation
5226.8,79.6,4.29,1.2,2.59,Normal
5327.1,102.6,3.75,1.7,3.29,Overheating
4588.9,90.1,3.36,5.37,3.17,Bearing Degradation
4735.3,89.8,3.23,6.0,3.31,Bearing Degradation
4618.4,85.0,3.94,2.16,3.58,Performance Degradation
5237.0,101.7,3.71,1.51,3.39,Overheating
4607.3,89.4,2.92,4.31,3.01,Bearing Degradation
5241.3,81.0,4.32,1.16,2.62,Normal
5234.6,101.3,3.85,1.89,3.18,Overheating
4871.1,93.1,2.34,2.49,2.85,Low Oil Pressure
4555.1,88.6,3.11,5.6,3.25,Bearing Degradation
5145.1,83.0,4.4,1.21,2.86,Normal
4625.1,83.8,3.74,2.13,3.61,Performance Degradation
5116.0,74.5,4.33,1.14,2.68,Normal
4710.1,84.8,4.07,2.09,3.51,Performance Degradation
5208.9,74.5,4.23,1.3,2.88,Normal
4543.7,88.4,2.85,5.85,3.23,Bearing Degradation
5342.5,104.4,3.74,1.64,3.54,Overheating
5273.8,78.6,4.3,1.36,2.59,Normal
5223.9,106.1,3.54,1.76,3.35,Overheating
5397.2,99.1,3.71,1.44,3.37,Overheating
4641.9,80.0,3.81,1.89,3.38,Performance Degradation
4687.5,85.8,3.02,5.55,3.28,Bearing Degradation
4634.1,87.5,3.89,2.07,3.59,Performance Degradation
5279.1,97.5,3.84,1.63,3.12,Overheating
4828.4,90.0,2.3,2.49,3.12,Low Oil Pressure
5343.6,101.7,3.69,1.8,3.4,Overheating
4708.0,84.6,3.79,2.39,3.66,Performance Degradation
5228.3,107.0,3.42,2.04,3.65,Overheating
5224.7,104.6,3.71,1.9,3.35,Overheating
5224.8,79.8,4.21,1.17,2.69,Normal
4805.6,95.5,2.17,2.68,3.13,Low Oil Pressure
4957.4,86.8,2.61,2.39,2.84,Low Oil Pressure
5207.9,79.3,4.44,1.1,2.77,Normal
5141.0,78.8,4.27,1.38,2.58,Normal
4655.5,82.0,3.85,2.12,3.9,Performance Degradation
5282.1,99.9,3.61,1.61,3.24,Overheating
4593.8,88.9,3.87,2.27,3.8,Performance Degradation
4801.5,93.8,2.28,2.52,2.77,Low Oil Pressure
5148.2,108.0,3.59,1.72,3.4,Overheating
4732.0,87.9,3.15,5.18,2.93,Bearing Degradation
5201.3,78.6,4.37,1.35,2.8,Normal
5253.8,109.5,3.3,2.14,3.49,Overheating
5250.8,103.5,3.58,1.91,3.28,Overheating
5290.5,102.7,3.71,1.7,3.27,Overheating
4635.4,83.8,4.06,2.18,3.73,Performance Degradation
5169.4,77.9,4.29,1.19,2.82,Normal
4925.2,92.8,2.27,2.66,2.97,Low Oil Pressure
4623.4,84.5,3.74,2.44,4.14,Performance Degradation
5237.2,112.0,3.39,1.95,3.55,Overheating
4691.7,82.3,3.62,2.1,3.63,Performance Degradation
5143.7,78.9,4.38,1.02,2.62,Normal
4568.7,83.3,3.19,4.42,3.05,Bearing Degradation
5247.2,109.6,3.64,1.96,3.49,Overheating
4712.3,85.2,2.98,5.77,3.16,Bearing Degradation
5293.7,109.0,3.41,1.93,3.53,Overheating
5240.6,102.5,3.58,1.84,3.35,Overheating
5225.1,102.9,3.75,1.81,3.38,Overheating
4671.5,82.0,4.01,1.99,3.41,Performance Degradation
4723.6,93.5,1.99,2.68,2.95,Low Oil Pressure
4864.1,94.8,2.03,2.76,2.92,Low Oil Pressure
4827.5,89.1,2.65,2.4,2.85,Low Oil Pressure
4649.7,83.8,3.91,2.32,3.58,Performance Degradation
5198.9,76.9,4.37,1.17,2.69,Normal
5176.6,100.3,3.63,1.81,3.25,Overheating
5240.8,110.0,3.51,1.94,3.35,Overheating
4471.1,86.8,3.77,2.28,3.64,Performance Degradation
4927.2,85.0,2.65,2.1,2.96,Low Oil Pressure
4878.5,85.8,2.65,2.18,3.04,Low Oil Pressure
4774.1,89.4,2.22,2.61,2.9,Low Oil Pressure
5251.7,78.5,4.2,0.95,2.69,Normal
4530.6,84.7,3.44,5.8,2.92,Bearing Degradation
4512.7,89.3,3.29,4.31,3.15,Bearing Degradation
4745.7,85.1,3.94,2.1,3.46,Performance Degradation
4843.1,88.9,2.59,2.29,3.04,Low Oil Pressure
